"","X","ID","participantcode","participantlabel","participanttime_started","player","playerrandom_belief","belief","playerbenchmark_belief","belief_payoff","game_payoff","playerother_game_payoff","playerother_greedy","playerother_accepted_greedy","payoff","groupid_in_subsession","grouprandom_game","accept","offer","subsessiontot_fair","subsessiontot_accept","sessioncode","sessionlabel","gender","age","playercountry","playerdegree","playerjob","playermajor","playeryear_major","playercomp_1","playercomp_2","playercomments","playerwhy_choice","playergasp_1","playergasp_2","playergasp_3","playergasp_4","playergasp_5","playergasp_6","playergasp_7","playergasp_8","playergasp_9","playergasp_10","playergasp_11","playergasp_12","playergasp_13","playergasp_14","playergasp_15","playergasp_16","guilt_neg","guilt_rep","shame_neg","shame_wit","playeraquino_1","playeraquino_2","playeraquino_3","playeraquino_4","playeraquino_5","playeraquino_6","playeraquino_7","playeraquino_8","playeraquino_9","playeraquino_10","playeraquino_11","playeraquino_12","playeraquino_13","ER_index","ER_out","ER_in","CR_out","CR_in","RS","RS_s","RS_v","RS_f","RT","RT_t","RT_r","playerstaxi_1","playerstaxi_2","playerstaxi_3","playerstaxi_4","playerstaxi_5","playerstaxi_6","playerstaxi_7","playerstaxi_8","playerstaxi_9","playerstaxi_10","playerstaxi_11","playerstaxi_12","playerstaxi_13","playerstaxi_14","playerstaxi_15","playerstaxi_16","playerstaxi_17","playerstaxi_18","playerstaxi_19","playerstaxi_20","playerstaxi_21","playerstaxi_22","playerstaxi_23","playerstaxi_24","playerstaxi_25","playerstaxi_26","playerstaxi_27","playerstaxi_28","playerstaxi_29","playerstaxi_30","playerstaxi_31","playerstaxi_32","playerstaxi_33","playerstaxi_34","playerstaxi_35","playerstaxi_36","playerstaxi_37","playerstaxi_38","playerstaxi_39","playerstaxi_40","playerstaxi_41","playerstaxi_42","playerstaxi_43","playerstaxi_44","playerstaxi_45","playerstaxi_46","playerstaxi_47","playerstaxi_48","playerstaxi_49","playerstaxi_50","playerstaxi_51","playerstaxi_52","playerstaxi_53","playerstaxi_54","playerstaxi_55","playerstaxi_56","playerstaxi_57","participant__id_in_session","sec_offer","sec_accept","sec_belief","sessiontime_scheduled","sessiontime_started","aquino_mis","RS_s_norm","RS_v_norm","RS_f_norm","RS_norm","RT_t_norm","RT_r_norm","RT_norm","ER_index_norm","ER_out_norm","ER_in_norm","CR_out_norm","CR_in_norm","treat","unique_group","payoff_tr","payoff_profile","a_high","b_high","inequity_default","direct","final_payoff"
"64",108,"21_2_D2_II","zbygqmc2","pc6","2017-02-21 11:54:09.179347+00:00",2,NA,0.4,5,2,11,8,NA,NA,6,10,0.9298,1,0,6,4,"6wql170q",12,0,22,"Italiana","Laurea Triennale in Economia e Commercio","Studente","Laurea Magistrale in Management",1,4,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,15,19,22,28,20,9,6,5,21,6,12,1,3,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,3,3,2,2,2,1,4,3,2,4,2,3,2,3,3,3,1,3,3,3,3,4,1,3,1,3,1,2,2,3,3,4,2,4,3,3,2,4,3,10,NA,NA,9,NA,NA,NA,56,46,44,48,44,58,50,44,46,54,52,64,4,54,1,2,0,1,1,1,2
"65",109,"21_2_D2_II","qruwh7ow","pc7","2017-02-21 11:54:09.279345+00:00",1,NA,0.91,80,2,8,11,5,4,6,11,0.8737,1,0,6,4,"6wql170q",12,0,19,"italiana","diploma","studente","bachelor in international economics and finance",1,5,5,"","",4,6,6,2,5,5,3,2,6,5,7,2,4,2,4,5,4.25,5.5,5,2.25,4,3,4,4,4,3,4,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,31,NA,18,NA,NA,2.69230771064758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,55,1,2,0,1,1,1,2
"66",110,"21_2_D2_II","ruqxeapz","pc19","2017-02-21 11:54:09.082070+00:00",2,NA,0.3,5,2,11,8,NA,NA,6,11,0.8737,1,0,6,4,"6wql170q",12,0,20,"Italiana","Diploma Liceale","Studente","Economia e Finanza",2,5,5,"Introdurre una soglia di tolleranza per la previsione effettuata dal giocatore due durante la sua previsione, come all'incirca avviene per la previsione del giocatore uno.","Essendo un giocatore due che aveva come controparte un giocatore uno che ha operato l'offerta A, non ho potuto scegliere. Se 1 avesse scelto B, in qualitÃ  di giocatore due avrei sicuramente accettato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,10,24,27,32,21,11,5,5,13,4,7,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,4,1,4,4,4,3,4,1,3,1,4,4,4,1,4,4,4,1,4,4,1,1,4,2,4,1,4,2,4,1,4,3,8,NA,NA,8,NA,NA,NA,62,42,44,48,36,40,36,36,36,66,62,72,4,55,1,2,0,1,1,1,2
"67",133,"20_2_D1_II","7un2hbdt","pc25","2017-02-20 14:38:07.287201+00:00",2,NA,0,1,2,2,14,NA,NA,6,1,0.6357,1,0,1,5,"95lqqwx8",9,0,21,"italiana","diploma superiore, attualmente al III anno di universitÃ ","studente","economia",3,5,5,"","La mia logica Ã¨ stata legata alla convenienza. In quanto giocatore 2 avrei potuto avere 0 oppure 2 euro ed ho optato per i 2. Mi aspettavo che anche tutti i giocatori 1 avessero visto questa convenienza scegliendo dunque l'offerta B che avrebbe dato loro con ogni probabilitÃ  14 euro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,10,28,28,18,8,5,5,17,6,9,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,2,1,1,1,1,3,4,2,4,2,4,3,4,2,4,1,3,1,4,3,4,1,4,1,4,1,1,2,4,1,4,2,1,1,4,1,4,1,20,NA,5,16,NA,NA,NA,52,42,44,46,44,48,42,32,46,34,64,64,2,67,0,1,0,0,0,1,2
"68",134,"20_2_D1_II","mxswb1ha","pc18","2017-02-20 14:37:22.500489+00:00",1,NA,0.8,44,2,14,2,9,4,6,1,0.6357,1,0,1,5,"95lqqwx8",9,0,22,"italiana","laurea triennale","studente","cleam",4,4,4,"","PerchÃ¨ scegliere 0 se puoi avere 2? Dato che come giocatore 2 la scelta iniziale non dipende da me non ha senso rifiutare i due euro. Pensavo che anche altri avrebbero pensato ciÃ² ma sottovalutavo la forma mentis dei viziati.",3,7,6,1,7,7,1,3,2,6,7,2,7,4,6,6,3.75,6.75,6.5,1.75,5,4,5,5,5,4,5,2,2,2,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,24,NA,NA,3.76923084259033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,67,0,1,0,0,0,1,2
"69",135,"20_2_D1_II","b5fm1uhw","pc16","2017-02-20 14:37:13.813608+00:00",2,NA,0.7,1,2,0,0,NA,NA,4,2,0.4199,NA,1,1,5,"95lqqwx8",9,1,23,"Italiana","Specialistica","Studentessa","ESS",2,5,3,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,19,28,32,15,5,5,5,15,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,1,1,1,4,2,4,2,4,2,4,2,4,1,4,4,4,3,4,4,4,1,4,2,1,1,4,2,4,2,4,1,4,2,4,2,2,NA,54,5,NA,NA,NA,42,44,46,42,38,36,38,34,46,54,66,72,2,68,0,1,0,0,0,1,0
"70",136,"20_2_D1_II","ez4s0y4y","pc8","2017-02-20 14:37:37.911366+00:00",1,NA,0.91,56,2,0,0,9,5,4,2,0.4199,NA,1,1,5,"95lqqwx8",9,0,20,"italiana","diploma","studente","Cles",2,5,3,"","massimizzazione profitti personali",5,5,6,1,2,2,5,1,3,6,6,2,5,6,5,6,5,4.5,4.75,2.25,4,4,4,5,4,4,3,2,2,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,NA,18,NA,NA,3.8461537361145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,68,0,1,0,0,0,1,0
"71",137,"20_2_D1_II","4hmzvjgq","pc4","2017-02-20 14:37:21.376078+00:00",2,NA,0.4,1,2,0,0,NA,NA,6,3,0.5756,1,0,1,5,"95lqqwx8",9,1,18,"italiana","diploma di scuola superiore","studentessa","bemacs",1,5,4,"","ho pensato che se io avessi ricevuto l'offerta b, non mi sembrava giusto ricevere 2 euro in confronto ai 14 del giocatore 1. Quindi ho preferito che nessuno dei due ricevesse soldi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,12,21,26,28,23,12,5,6,22,5,13,2,4,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,2,3,4,1,3,2,1,4,4,1,4,2,3,2,4,2,4,1,3,2,3,2,4,4,4,1,3,4,1,2,3,2,4,1,4,2,4,2,3,3,10,NA,19,21,NA,NA,NA,68,40,48,50,38,64,52,36,38,58,64,66,2,69,0,1,0,0,0,1,2
"72",138,"20_2_D1_II","7w1ar64w","pc9","2017-02-20 14:37:35.082785+00:00",1,NA,1,56,2,0,0,9,5,6,3,0.5756,1,0,1,5,"95lqqwx8",9,1,23,"Italiana","Laurea triennale","Studente","Finance",1,5,4,"","Ho scelto ritenendo che il giocatore 2 davanti all'offerta B non poteva che accettarla perchÃ¨ altrimenti avrebbe ottenuto 0.",6,7,7,3,5,7,3,1,7,6,5,6,7,5,5,6,6,5.5,6.75,3.25,5,5,5,2,5,5,5,1,1,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,NA,12,NA,NA,3.46153855323792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,69,0,1,0,0,0,1,2
"73",139,"20_2_D1_II","nd2sa4gc","pc20","2017-02-20 14:37:38.961012+00:00",1,NA,0.7,44,2,14,2,9,4,18,4,0.0426,NA,1,1,5,"95lqqwx8",9,0,21,"italiana","Laurea Triennale","studente","BIEF-Economics",3,4,5,"No","Due sono state le motivazioni principali per le quali ho scelto di offrire l'Opzione B:   - non mi importava particolarmente dell'esito, nel senso che la disutilitÃ  nel vincere solo 2 euro era molto minore dell'utilitÃ  di vincerne 14, e l'utilitÃ  del vincerne 8 (con l'Opzione A) era comunque minore dell'utilitÃ  attesa dell'Opzione B  - puntavo sul fatto che la persona avrebbe accettato l'offerta dato che ""due euro sono meglio di niente"" (avrebbe potuto scegliere di non accettarla solo se fosse stata arrabbiata dalla mia proposta in cui ne avrebbe vinti solo 2). Avevo previsto il 70% di risposte positive all'offerta B proprio questo ragionamento, e invece soltanto il 40% ha scelto di accettare l'offerta B e questo dimostra che le persone in generale non hanno utilizzato il ragionamento de ""meglio 2 che niente"" e invece si sono alterate e hanno preferito non far vincere nulla a nessuno",3,7,3,1,6,7,1,2,6,6,7,1,7,5,7,3,4.25,6.75,5.75,1.25,4,4,5,5,3,4,3,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,NA,15,NA,NA,2.8461537361145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,70,0,1,0,0,0,1,14
"74",140,"20_2_D1_II","zflt1f9o","pc11","2017-02-20 14:37:49.025932+00:00",2,NA,0.1,1,10,2,14,NA,NA,6,4,0.0426,NA,1,1,5,"95lqqwx8",9,0,21,"ITALIANA","MATURITA' CLASSICA","STUDENTE","MANAGEMENT",3,1,3,"RENDERLO PIU' CHIARO.","HO PENSATO CHE SU 11 COPPIE SOLO 1 GIOCATORE N.1 POTESSE PROPORRE L'OFFERTA A POICHE' AVVERSO AL RISCHIO DI RICEVERE UN RIFIUTO. TUTTI GLI ALTRI INVECE SAPEVANO CHE IL GIOCATORE N.2 NON AVREBBE MAI RIFIUTATO ALCUNA OFFERTA OVVIAMENTE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,18,19,19,26,20,7,6,7,23,6,12,1,2,1,1,3,1,1,1,1,2,1,1,1,1,2,1,1,2,3,3,2,4,3,1,3,3,2,4,2,3,3,4,1,2,1,3,2,3,4,4,3,3,3,3,4,1,1,3,4,2,1,2,1,3,3,3,2,12,NA,16,41,NA,NA,NA,50,46,50,48,44,58,54,50,54,54,44,60,2,70,0,1,0,0,0,1,2
"75",141,"20_2_D1_II","8y3n7q4h","pc22","2017-02-20 14:37:47.574105+00:00",1,NA,0.91,50,2,8,8,10,5,12,5,0.0942,1,0,1,5,"95lqqwx8",9,1,22,"italiana","Laurea Triennale Bocconi","studentessa","Management",1,1,2,"","",4,6,5,5,7,7,2,1,4,6,7,3,6,6,6,5,4.75,6.5,6,2.75,5,5,5,5,5,5,5,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,NA,40,NA,NA,3.38461542129517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,71,0,1,0,0,0,1,8
"76",142,"20_2_D1_II","c318d510","pc24","2017-02-20 14:38:03.120177+00:00",2,NA,0.7,0,2,8,8,NA,NA,12,5,0.0942,1,0,1,5,"95lqqwx8",9,1,20,"italiana","maturitÃ  scientifica","studente","cleam",2,5,4,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,23,15,15,22,16,6,5,5,27,11,11,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,4,2,3,2,4,3,1,3,2,3,2,2,4,4,3,4,1,1,2,3,2,4,2,1,2,4,3,1,2,2,4,1,2,1,3,1,2,4,3,2,18,NA,NA,60,NA,NA,NA,46,44,46,NA,68,56,64,58,72,44,36,52,2,71,0,1,0,0,0,1,8
"77",143,"20_2_D1_II","0ksaber5","pc3","2017-02-20 14:37:16.343764+00:00",2,NA,0.8,1,2,2,14,NA,NA,6,6,0.0914,NA,1,1,5,"95lqqwx8",9,0,19,"Italiana","diploma classico","studente","cleam",2,3,4,"dare maggiore possibilitÃ  di guadagno al giocatore due.","pensavo che i giocatori 1 fossero avversi al rischio e invece mi sbagliavo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,17,23,23,26,20,7,8,5,23,8,11,1,2,2,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,3,3,2,1,2,3,3,4,2,3,3,3,2,4,3,3,1,3,2,3,3,3,3,4,3,3,3,2,2,3,3,2,2,4,3,4,2,3,3,22,NA,46,8,NA,NA,NA,48,48,40,44,50,54,52,46,48,62,56,64,2,72,0,1,0,0,0,1,2
"78",144,"20_2_D1_II","at2zxnnv","pc6","2017-02-20 14:37:43.400178+00:00",1,NA,0.91,44,2,14,2,9,4,18,6,0.0914,NA,1,1,5,"95lqqwx8",9,1,22,"Italiana","Laurea Triennale In Economia e Finanza","Studente","Finance",1,5,5,"","",7,7,7,2,5,7,4,1,7,7,5,3,7,4,4,7,6.25,5.25,7,2.5,4,4,3,5,5,4,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12,NA,10,NA,NA,2.69230771064758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,72,0,1,0,0,0,1,14
"79",145,"20_2_D1_II","79fcxxaf","pc17","2017-02-20 14:37:18.648144+00:00",1,NA,0.91,56,2,0,0,9,5,4,7,0.1505,NA,1,1,5,"95lqqwx8",9,0,22,"Italiana","Laurea Specialistica","Studente","Economia e Scienze Sociali",1,5,5,"","I giocatori dovrebbero essere razionali e accettare 2 euro invece di 0. Quindi i giocatori non sono razionali al 100%.",1,1,7,1,6,5,1,1,1,1,6,1,7,7,7,1,2.5,5,5,1,5,5,5,5,5,5,5,1,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,12,NA,NA,3.46153855323792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,73,0,1,0,0,0,1,0
"80",146,"20_2_D1_II","umtkp5vp","pc1","2017-02-20 14:37:08.014278+00:00",2,NA,0.7,1,2,0,0,NA,NA,4,7,0.1505,NA,1,1,5,"95lqqwx8",9,1,21,"italiana","Diploma di scuola superiore","studentessa","Laurea triennale in Economia e management",3,2,2,"Aumentare la probabilitÃ  di guadagno, possibilmente massimizzandola al centro della campana invece che agli estremi com'Ã¨ successo in questo esperimento; inoltre, degli esempi piÃ¹ chiari nella spiegazione dell'esperimento sarebbero graditi.","Ho considerato sia la probabilitÃ  di ricevere il pagamento per i risultati sia quella di riceverlo per la previsione; avendo considerato una propensione al rischio bassa ho pensato che sarebbe stato molto piÃ¹ probabile che 7 scegliessero l'offerta A. Essendo giocatrice 2, avrei avuto quattro possibili guadagni avendo ricevuto l'offerta B: 2â‚¬+4â‚¬ in caso di pagamento per la scelta in gioco se avessi accettato, 4â‚¬ nello stesso caso ma se avessi rifiutato, 14â‚¬ se avessi azzeccato la previsione e 6â‚¬ se l'avessi sbagliata. Essendo piÃ¹ alti i guadagni nel caso di pagamento per la previsione, anche in caso di previsione sbagliata, ho scelto di rifiutare anche per ""penalizzare"" la scelta del mio co-giocatore di aver rischiato essendo io avversa al rischio. Pur essendo piÃ¹ alta la probabilitÃ  di ricevere un pagamento maggiore nel caso di pagamento per la previsione, sono stata sorteggiata per il risultato in game.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,15,20,18,30,27,13,7,7,26,11,11,2,4,2,1,1,1,2,2,3,4,1,1,1,1,1,2,3,4,4,3,2,1,1,3,3,2,2,3,2,1,4,4,1,3,1,4,3,2,3,3,2,2,1,4,3,1,2,4,3,4,1,4,3,4,1,4,3,16,NA,121,149,NA,NA,NA,72,50,54,62,68,56,62,46,50,56,44,68,2,73,0,1,0,0,0,1,0
"81",147,"20_2_D1_II","34yqw06a","pc21","2017-02-20 14:37:43.119845+00:00",1,NA,0.65,44,2,14,2,9,4,6,8,0.9906,1,0,1,5,"95lqqwx8",9,0,22,"italiana","laurea triennale in economia aziendale","studente","master in international management",1,5,5,"","Seguendo la teoria dei giochi, quindi pensando che il giocatore 2 aveva come scelta dominante ""Accettare"" in ogni caso.",6,5,5,2,3,5,2,3,4,6,7,2,7,6,7,5,5.25,5.5,5.75,2.25,4,4,3,5,4,4,4,5,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,33,NA,29,NA,NA,3.38461542129517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,74,0,1,0,0,0,1,2
"82",148,"20_2_D1_II","mr6hgpe2","pc2","2017-02-20 14:37:12.970861+00:00",2,NA,0,1,2,2,14,NA,NA,6,8,0.9906,1,0,1,5,"95lqqwx8",9,0,21,"italiana","maturitÃ ","studente","corso di laurea in economia e finanza",3,5,5,"Forse il fatto che tutti hanno studiato le basi di teoria dei giochi in micoreconomia va a influenzare le scelte di ciascun partecipante. Quindi, sarebbe rischioso generalizzare il risultato in quanto non rispecchierebbe necessariamente ciÃ² che una persona che non conosce le basi di game theory (nonostante l'intuitivitÃ ) avrebbe scelto.","teoria dei giochi, microeconomia. Il giocatore 2 avrebbe ottenuto un risultato migliore accettando (2 Ã¨ meglio di 0), Chiaramente il giocatore 1 avrebbe scelto l'offerta B prevedendo la scelta del giocatore 2 con il metodo della backward induction.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,16,20,11,18,17,5,7,5,17,6,8,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,2,3,2,2,1,3,3,2,1,1,2,2,2,3,2,4,2,1,3,2,2,1,3,2,2,2,1,3,1,2,2,3,6,NA,5,21,NA,NA,NA,42,48,44,44,44,44,42,62,50,56,28,44,2,74,0,1,0,0,0,1,2
"83",149,"20_2_D1_II","8hsjx2b9","pc26","2017-02-20 14:38:11.391031+00:00",1,NA,0.4,44,10,14,2,9,4,18,9,0.4794,1,0,1,5,"95lqqwx8",9,0,22,"italiana","laurea triennale","studente","international management",1,5,5,"Aumentando il guadagno potenziale o la perdita potenziale in modo da essere piu sensibili nelle scelte","ipotizzando una bassa probabilitÃ  di accettazione dell offerta B, ho a mia volta proposto l offerta B in modo tale da avere un effetto bilanciato in termini di massimo guadagno. Se in pochi accettano B io ho guadagnato 10 dalla previsione, se in motlti accettano B io ho sbagliato la previsione ma ho piÃ¹ possibilitÃ  di ricevere 14 dall accetazione dell offerta B.",4,7,6,1,6,7,2,2,6,3,6,1,5,5,3,5,5,5.5,5.25,1.5,4,4,4,5,4,4,4,2,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,19,NA,60,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,75,0,1,0,0,0,1,14
"84",150,"20_2_D1_II","g770hrt9","pc19","2017-02-20 14:37:28.561393+00:00",2,NA,0,1,2,2,14,NA,NA,6,9,0.4794,1,0,1,5,"95lqqwx8",9,1,22,"italiana","laurea triennale","studente","management",4,5,5,"no","Ho ragionato su quale poteva essere per me il maggiore guadagno date le scelte del giocatore 1. La mia previsione si Ã¨ basata pensando che tutti i Giocatori 1 avrebbero agito in ottica di massimizzazione del profitto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,12,11,14,16,20,10,5,5,21,8,10,1,3,2,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,3,2,2,2,1,3,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,14,NA,20,58,NA,NA,NA,62,44,46,50,54,52,52,52,42,36,34,40,2,75,0,1,0,0,0,1,2
"85",151,"20_2_D1_II","gz9a9v8c","pc23","2017-02-20 14:37:51.526453+00:00",1,NA,0.91,56,2,0,0,9,5,6,10,0.89,1,0,1,5,"95lqqwx8",9,0,21,"italiana","diploma","nessuna","BIEM",2,5,5,"","Ho tentato di massimizzare il mio profitto nel gioco scegliendo B, credendo che (in quanto agenti razionali) la quasi totalitÃ  dei ""giocatori 2"" avrebbe accettato: la scelta del giocatore 2 sarebbe stata, infatti, scegliere tra 2 euro e 0 euro (e 2>0). Io avrei accettato senza esitazione",7,6,7,1,6,5,4,1,6,7,7,4,6,6,6,6,6.25,6.25,6.25,2.5,4,3,3,4,3,3,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,17,NA,18,NA,NA,2.23076915740967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,76,0,1,0,0,0,1,2
